team,elo,fifa_points,last5_win_rate,last20_win_rate
Mozambique,1465.301317125926,1218.62,0.2,0.425
Madagascar,1482.9717866410401,1202.69,0.5,0.5
Equatorial Guinea,1443.0158068232888,1195.2,0.3,0.4
Kyrgyz Republic,1500.0,1192.16,0.5,0.5
Armenia,1451.2021498048398,1189.63,0.2,0.3
Comoros,1475.447456662345,1187.91,0.5,0.4
Kenya,1472.7364916505533,1185.08,0.4,0.475
Libya,1528.0610427902652,1182.08,0.6,0.6
Kazakhstan,1488.3816596940399,1180.78,0.5,0.325
Tanzania,1395.295790439633,1180.27,0.4,0.25
Mauritania,1465.4538744606518,1176.68,0.3,0.375
Niger,1434.228834154345,1175.33,0.3,0.475
Lebanon,1429.4344180378073,1172.22,0.7,0.55
The Gambia,1500.0,1159.64,0.5,0.5
Sudan,1450.3385408777162,1157.22,0.2,0.325
Indonesia,1514.4231188823944,1157.14,0.6,0.475
Togo,1488.5948479345554,1152.76,0.7,0.425
DPR Korea,1500.0,1151.05,0.5,0.5
Namibia,1406.3850641832194,1148.84,0.1,0.275
Sierra Leone,1429.8301311505743,1147.56,0.5,0.425
Alderney,1145.2953552154408,1145.2953552154408,0.2,0.1
Northern Mariana Islands,1137.8231868420335,1137.8231868420335,0.5,0.2
Faroe Islands,1435.4429784845568,1136.59,0.6,0.475
Cyprus,1428.90298006625,1133.25,0.5,0.4
Suriname,1534.9879804805103,1132.43,0.4,0.5
Azerbaijan,1429.0378579770968,1132.0,0.5,0.2
Estonia,1465.8329048550254,1130.64,0.7,0.35
Rwanda,1467.235134236116,1126.62,0.6,0.45
Malawi,1410.2085272005754,1122.05,0.4,0.35
Zimbabwe,1452.3835796866217,1119.78,0.5,0.4
Nicaragua,1461.4388888353228,1114.63,0.3,0.4
United States Virgin Islands,1113.0186394697519,1113.0186394697519,0.5,0.3
Guinea-Bissau,1371.1186377783843,1108.38,0.3,0.25
Kuwait,1494.655391981822,1106.47,0.4,0.375
Congo,1352.781081963788,1105.96,0.1,0.275
Philippines,1375.999698410134,1100.95,1.0,0.575
Malaysia,1532.1696953601117,1086.22,1.0,0.725
Latvia,1371.363323242125,1085.66,0.2,0.3
India,1301.8748512430466,1084.93,0.1,0.25
Central African Republic,1368.180761487529,1080.82,0.3,0.375
Liberia,1396.4509846895699,1080.44,0.3,0.4
Turkmenistan,1395.0635731976736,1078.65,0.8,0.35
Burundi,1397.9689306910634,1078.01,0.0,0.325
Ethiopia,1412.770681597163,1077.52,0.5,0.375
Dominican Republic,1457.5687181607314,1076.5,0.5,0.575
Yemen,1315.3371737230543,1065.24,0.8,0.5
Lesotho,1387.0976067152612,1064.29,0.4,0.375
Botswana,1423.283197707256,1063.63,0.2,0.35
Singapore,1354.8539620267916,1057.95,0.6,0.5
Lithuania,1368.5562510827658,1056.85,0.3,0.175
Guyana,1455.6781702678097,1049.32,1.0,0.525
New Caledonia,1533.6123221182008,1036.95,0.5,0.55
St Kitts and Nevis,1500.0,1036.33,0.5,0.5
Brunei,1036.1969502388397,1036.1969502388397,0.2,0.325
Solomon Islands,1387.6372210135053,1031.89,0.0,0.325
Puerto Rico,1371.2811271750227,1024.3,0.6,0.5
Fiji,1425.1290367191523,1024.17,0.0,0.475
"Hong Kong, China",1500.0,1024.16,0.5,0.5
Tahiti,1506.5847147059014,1019.04,0.6,0.6
Myanmar,1223.8651162549736,1010.91,0.3,0.35
Moldova,1371.552536206768,1008.24,0.2,0.3
Vanuatu,1454.718027491124,1002.53,0.7,0.425
Malta,1421.7401161940118,992.79,0.4,0.4
Antigua and Barbuda,1222.170912695918,986.58,0.2,0.15
Grenada,1318.7908640824817,981.82,0.2,0.425
Cuba,1396.314686812835,981.42,0.6,0.425
Eswatini,1325.4234826526667,979.01,0.2,0.225
St Lucia,1500.0,976.71,0.5,0.5
Bermuda,1378.6839944563242,975.05,0.3,0.4
Papua New Guinea,1467.5964817548395,974.9,0.9,0.5
South Sudan,1295.298218768566,970.94,0.2,0.275
St Vincent and the Grenadines,1500.0,968.27,0.5,0.5
Afghanistan,1205.830308196696,968.07,0.4,0.325
Andorra,1211.5155592119231,946.43,0.3,0.2
Maldives,1099.1919990572762,943.92,0.0,0.25
Taiwan,1186.5112889557533,923.78,0.0,0.225
Cambodia,1172.5265834166644,922.32,0.5,0.375
Montserrat,1290.0812498075118,916.75,0.2,0.325
Nepal,1193.276355965196,914.54,0.2,0.275
Mauritius,1251.6542438354459,911.49,0.2,0.275
Barbados,1197.9590915169995,909.89,0.2,0.325
Belize,1322.6231787602462,907.0,0.4,0.5
Bangladesh,1219.0887281931919,902.93,0.6,0.375
Dominica,1224.9089089313902,897.69,0.1,0.375
Chad,1278.9160822054482,896.85,0.1,0.25
Eritrea,1245.4331884959067,887.06,0.0,0.2
Laos,1067.7934300703005,885.03,0.2,0.225
Cook Islands,1254.2901390308032,877.53,0.2,0.275
Sri Lanka,1113.0214354242532,876.86,0.3,0.45
Samoa,1316.066037481871,876.41,0.4,0.35
Aruba,1241.822200790547,875.61,0.7,0.425
Mongolia,1089.402801922628,874.47,0.2,0.225
American Samoa,1108.9621147725145,871.61,0.0,0.2
Bhutan,966.7536671656218,870.81,0.0,0.2
Macau,980.568269856562,858.03,0.0,0.15
Brunei Darussalam,1500.0,857.73,0.5,0.5
São Tomé and Príncipe,1215.538543197957,855.44,0.2,0.15
Djibouti,1130.6345280060343,853.58,0.0,0.175
Cayman Islands,1165.8672364063234,850.06,0.5,0.375
Pakistan,1151.0276856285668,840.28,0.7,0.275
Somalia,1121.5112897578679,839.17,0.3,0.125
Tonga,1189.2652646827476,835.64,0.4,0.1
Timor-Leste,992.8841417390331,831.0,0.2,0.225
Gibraltar,1254.5839297808263,820.26,0.6,0.375
Guam,1085.9331335537227,819.54,0.2,0.125
Seychelles,1082.0815489922973,804.16,0.0,0.075
Turks and Caicos Islands,1190.6704666574415,803.98,0.5,0.4
Liechtenstein,1104.8438126777942,797.7,0.2,0.15
Bahamas,1104.4774858314645,786.82,0.0,0.125
US Virgin Islands,1500.0,779.76,0.5,0.5
British Virgin Islands,1137.7897794603682,777.41,0.7,0.325
Anguilla,1048.7903654462912,760.25,0.4,0.2
San Marino,1016.7646792768195,721.2,0.1,0.15
