player,player_norm,team,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90
F. Girotti,f girotti,Argentina,9.000000000000002,0.0,61.0,0.0,0.7,2266.0,0.35745807590467793,0.0,0.0,2.4227714033539276
F. Honorat,f honorat,France,4.0,0.0,19.999999999999996,0.0,1.0,1453.0,0.24776324845147968,0.0,0.0,1.238816242257398
F. Ivanović,f ivanovic,Croatia,16.0,0.0,71.0,0.0,0.76,2563.0,0.5618415918845103,0.0,0.0,2.493172063987515
F. Jara,f jara,Argentina,15.0,0.0,59.0,0.0,0.6999999999999998,1771.0,0.7622811970638058,0.0,0.0,2.9983060417843026
F. Pizzini,f pizzini,Argentina,7.0,0.0,52.99999999999999,0.0,0.6999999999999998,3262.0,0.19313304721030042,0.0,0.0,1.4622930717351315
F. Torres,f torres,Uruguay,16.000000000000004,0.0,56.0,0.0,0.52,3096.0,0.46511627906976755,0.0,0.0,1.627906976744186
F. Wirtz,f wirtz,Germany,10.0,0.0,54.0,0.0,1.0,2354.0,0.3823279524214104,0.0,0.0,2.064570943075616
Ferran Torres,ferran torres,Spain,9.0,0.0,35.0,0.0,1.0,1042.0,0.7773512476007678,0.0,0.0,3.0230326295585415
Flávio Nazinho,flavio nazinho,Portugal,0.9999999999999999,0.0,15.999999999999998,0.0,0.76,1541.0,0.05840363400389356,0.0,0.0,0.934458144062297
Fábio Silva,fabio silva,Portugal,10.0,0.0,44.00000000000001,0.0,1.0,1876.0,0.47974413646055436,0.0,0.0,2.1108742004264394
Félix Correia,felix correia,Portugal,9.000000000000002,0.0,36.00000000000001,0.0,0.82,2899.0,0.27940669196274587,0.0,0.0,1.1176267678509835
G. Berterame,g berterame,Argentina,20.0,0.0,84.99999999999999,0.0,0.54,3119.0,0.5771080474511061,0.0,0.0,2.4527092016672003
G. Carrillo,g carrillo,Argentina,12.0,0.0,46.0,0.0,0.7,1800.0,0.6,0.0,0.0,2.3
G. Hamer,g hamer,Netherlands,10.0,0.0,68.99999999999999,0.0,0.68,3364.0,0.267538644470868,0.0,0.0,1.846016646848989
G. Laborde,g laborde,France,11.0,0.0,50.00000000000001,0.0,1.0,1838.0,0.5386289445048966,0.0,0.0,2.4483133841131672
G. Lodico,g lodico,Argentina,0.9999999999999999,0.0,31.999999999999996,0.0,0.7,3376.0,0.026658767772511843,0.0,0.0,0.853080568720379
G. Martirena,g martirena,Uruguay,3.0,0.0,21.999999999999996,0.0,0.7,2081.0,0.12974531475252282,0.0,0.0,0.9514656415185005
G. Martínez,g martinez,Mexico,9.999999999999998,0.0,53.0,0.0,0.54,1792.0,0.5022321428571428,0.0,0.0,2.661830357142857
G. Nilsson,g nilsson,Sweden,18.0,0.0,116.0,0.0,0.7600000000000001,3474.0,0.46632124352331605,0.0,0.0,3.005181347150259
G. Perrin,g perrin,France,20.0,0.0,86.0,0.0,1.0,5408.0,0.3328402366863905,0.0,0.0,1.4312130177514792
