player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Danley Jean Jacques,Haiti,danley jean jacques,3,2.7,0,1,3,2025-10-09,37,1.0,0.08108108108108109,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Mohammed Kudus,Ghana,mohammed kudus,4,2.7,0,0,3,2025-10-12,39,1.3333333333333333,0.10256410256410256,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Dan Ndoye,Switzerland,dan ndoye,3,2.7,0,1,3,2025-11-15,42,1.0,0.07142857142857142,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Omar Alderete,Paraguay,omar alderete,3,2.7,0,1,3,2025-03-20,36,1.0,0.08333333333333333,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Lyle Foster,South Africa,lyle foster,4,2.7,0,0,4,2025-12-29,52,1.0,0.07692307692307693,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Harry Souttar,Australia,harry souttar,3,2.7,0,1,3,2024-01-28,41,1.0,0.07317073170731707,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Igor Sergeev,Uzbekistan,igor sergeev,3,2.7,0,1,3,2025-06-10,45,1.0,0.06666666666666667,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Xherdan Shaqiri,Switzerland,xherdan shaqiri,3,2.7,1,1,3,2024-06-19,42,1.0,0.07142857142857142,,,,,78.0,,0.405,1.0125000000000002,0.81,0.20020664379288838,2026
Jude Bellingham,England,jude bellingham,3,2.6,0,2,3,2024-10-10,44,1.0,0.06818181818181818,,,,,78.0,,0.39,0.9750000000000001,0.78,0.1962472707423581,2026
Niclas Füllkrug,Germany,niclas fullkrug,3,2.6,0,2,3,2024-09-07,43,1.0,0.06976744186046512,,,,,78.0,,0.39,0.9750000000000001,0.78,0.1962472707423581,2026
Anthony Elanga,Sweden,anthony elanga,3,2.55,0,0,3,2026-03-31,40,1.0,0.075,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
José Luis Rodríguez,Panama,jose luis rodriguez,3,2.55,0,0,3,2025-11-18,58,1.0,0.05172413793103448,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Kenji Gorré,Curaçao,kenji gorre,3,2.55,0,0,3,2025-10-14,37,1.0,0.08108108108108109,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Otabek Shukurov,Uzbekistan,otabek shukurov,3,2.55,1,0,2,2024-10-15,45,1.5,0.06666666666666667,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Rodrygo,Brazil,rodrygo,3,2.55,0,0,2,2024-09-06,40,1.5,0.075,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Marcus Rashford,England,marcus rashford,3,2.55,1,0,3,2025-09-09,44,1.0,0.06818181818181818,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Ahmed Al-Rawi,Qatar,ahmed alrawi,3,2.55,0,0,3,2025-03-20,53,1.0,0.05660377358490566,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Serge Gnabry,Germany,serge gnabry,3,2.55,0,0,3,2025-11-17,43,1.0,0.06976744186046512,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Rangelo Janga,Curaçao,rangelo janga,3,2.55,1,0,1,2024-06-05,37,3.0,0.08108108108108109,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Virgil van Dijk,Netherlands,virgil van dijk,3,2.55,1,0,3,2025-10-12,43,1.0,0.06976744186046512,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Juninho Bacuna,Curaçao,juninho bacuna,3,2.55,0,0,3,2025-11-13,37,1.0,0.08108108108108109,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Renato Steffen,Switzerland,renato steffen,3,2.55,0,0,1,2023-03-25,42,3.0,0.07142857142857142,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Rodrigo Aguirre,Uruguay,rodrigo aguirre,3,2.55,0,0,3,2025-09-04,42,1.0,0.07142857142857142,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Nicolás Otamendi,Argentina,nicolas otamendi,3,2.55,0,0,3,2024-10-10,42,1.0,0.07142857142857142,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Calvin Stengs,Netherlands,calvin stengs,3,2.55,0,0,1,2023-11-21,43,3.0,0.06976744186046512,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Charles De Ketelaere,Belgium,charles de ketelaere,3,2.55,0,0,2,2025-11-18,41,1.5,0.07317073170731707,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Eberechi Eze,England,eberechi eze,3,2.55,0,0,3,2025-11-13,44,1.0,0.06818181818181818,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Elias Saad,Tunisia,elias saad,3,2.55,0,0,2,2025-10-10,49,1.5,0.061224489795918366,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Nishan Velupillay,Australia,nishan velupillay,3,2.55,0,0,3,2025-03-25,41,1.0,0.07317073170731707,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Jamie Maclaren,Australia,jamie maclaren,3,2.55,0,0,1,2023-11-16,41,3.0,0.07317073170731707,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Olivier Giroud,France,olivier giroud,3,2.55,0,0,2,2023-11-18,43,1.5,0.06976744186046512,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Thiago Almada,Argentina,thiago almada,3,2.55,0,0,3,2025-06-10,42,1.0,0.07142857142857142,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Haris Tabaković,Bosnia and Herzegovina,haris tabakovic,3,2.55,0,0,3,2026-03-31,36,1.0,0.08333333333333333,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Thomas Partey,Ghana,thomas partey,3,2.55,0,0,2,2025-10-08,39,1.5,0.07692307692307693,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Nicolás de la Cruz,Uruguay,nicolas de la cruz,3,2.55,0,0,2,2023-10-17,42,1.5,0.07142857142857142,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Ali Al-Hamadi,Iraq,ali alhamadi,3,2.55,0,0,3,2026-03-31,51,1.0,0.058823529411764705,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Musab Al-Juwayr,Saudi Arabia,musab aljuwayr,3,2.55,0,0,3,2025-06-05,60,1.0,0.05,,,,,78.0,,0.38249999999999995,0.9562499999999998,0.7649999999999999,0.19426758421709295,2026
Francisco Conceição,Portugal,francisco conceicao,3,2.45,0,1,3,2025-11-16,43,1.0,0.06976744186046512,,,,,78.0,,0.3675,0.91875,0.735,0.1903082111665627,2026
Romano Schmid,Austria,romano schmid,3,2.45,0,1,3,2025-10-09,40,1.0,0.075,,,,,78.0,,0.3675,0.91875,0.735,0.1903082111665627,2026
Tim Kleindienst,Germany,tim kleindienst,4,2.4,0,0,3,2025-03-23,43,1.3333333333333333,0.09302325581395349,,,,,78.0,,0.36,0.8999999999999999,0.72,0.1883285246412976,2026
Pape Gueye,Senegal,pape gueye,4,2.35,0,0,3,2026-01-03,48,1.3333333333333333,0.08333333333333333,,,,,78.0,,0.3525,0.88125,0.705,0.18634883811603245,2026
Amad Diallo,Ivory Coast,amad diallo,4,2.35,0,0,4,2026-01-06,47,1.0,0.0851063829787234,,,,,78.0,,0.3525,0.88125,0.705,0.18634883811603245,2026
Riyad Mahrez,Algeria,riyad mahrez,4,2.35,1,0,3,2025-12-28,52,1.3333333333333333,0.07692307692307693,,,,,78.0,,0.3525,0.88125,0.705,0.18634883811603245,2026
Ryan Christie,Scotland,ryan christie,3,2.3,0,0,3,2025-11-15,40,1.0,0.075,,,,,78.0,,0.345,0.8624999999999999,0.69,0.18436915159076733,2026
Pedri,Spain,pedri,3,2.3,0,0,2,2025-09-07,44,1.5,0.06818181818181818,,,,,78.0,,0.345,0.8624999999999999,0.69,0.18436915159076733,2026
Leroy Sané,Germany,leroy sane,3,2.3,0,0,2,2025-11-17,43,1.5,0.06976744186046512,,,,,78.0,,0.345,0.8624999999999999,0.69,0.18436915159076733,2026
Stefan Posch,Austria,stefan posch,3,2.3,0,0,2,2025-10-09,40,1.5,0.075,,,,,78.0,,0.345,0.8624999999999999,0.69,0.18436915159076733,2026
Bruno Petković,Croatia,bruno petkovic,3,2.3,0,0,2,2023-09-08,40,1.5,0.075,,,,,78.0,,0.345,0.8624999999999999,0.69,0.18436915159076733,2026
Alexander Djiku,Ghana,alexander djiku,3,2.2,0,0,3,2025-10-08,39,1.0,0.07692307692307693,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Evann Guessand,Ivory Coast,evann guessand,3,2.2,0,0,3,2025-12-31,47,1.0,0.06382978723404255,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Simon Adingra,Ivory Coast,simon adingra,3,2.2,0,0,3,2025-10-10,47,1.0,0.06382978723404255,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Youssef En-Nesyri,Morocco,youssef ennesyri,3,2.2,0,0,3,2025-10-14,54,1.0,0.05555555555555555,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Meschak Elia,Congo DR,meschak elia,3,2.2,0,0,3,2025-11-16,48,1.0,0.0625,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Yan Diomande,Ivory Coast,yan diomande,3,2.2,0,0,3,2026-01-06,47,1.0,0.06382978723404255,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Hakim Ziyech,Morocco,hakim ziyech,3,2.2,1,0,3,2024-06-07,54,1.0,0.05555555555555555,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Azzedine Ounahi,Morocco,azzedine ounahi,3,2.2,0,0,3,2025-09-05,54,1.0,0.05555555555555555,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Jamiro Monteiro,Cape Verde,jamiro monteiro,3,2.2,0,0,3,2024-06-08,43,1.0,0.06976744186046512,,,,,78.0,,0.33,0.8250000000000001,0.66,0.18040977854023707,2026
Rúben Neves,Portugal,ruben neves,1,0.85,0,0,1,2025-10-11,43,1.0,0.023255813953488372,7.999999999999999,0.0,65.0,0.0,73.0,2240.0,0.0,2.611607142857143,0.0,0.18016499869178443,2026
Ermedin Demirović,Bosnia and Herzegovina,ermedin demirovic,3,2.05,0,0,3,2025-03-24,36,1.0,0.08333333333333333,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
Martin Zubimendi,Spain,martin zubimendi,3,2.05,0,0,3,2025-11-15,44,1.0,0.06818181818181818,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
Ousmane Dembélé,France,ousmane dembele,3,2.05,0,0,3,2025-03-23,43,1.0,0.06976744186046512,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
İrfan Kahveci,Türkiye,irfan kahveci,3,2.05,0,0,3,2024-10-14,42,1.0,0.07142857142857142,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
Bradley Barcola,France,bradley barcola,3,2.05,0,0,3,2025-09-09,43,1.0,0.06976744186046512,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
Philipp Lienhart,Austria,philipp lienhart,3,2.05,0,0,3,2024-10-13,40,1.0,0.075,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
Dejan Kulusevski,Sweden,dejan kulusevski,3,2.05,0,0,2,2024-11-19,40,1.5,0.075,,,,,78.0,,0.30749999999999994,0.7687499999999998,0.6149999999999999,0.17447071896444166,2026
Djordje Mihailovic,United States,djordje mihailovic,2,2.0,0,2,1,2023-06-28,57,2.0,0.03508771929824561,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Daniel Muñoz,Colombia,daniel munoz,2,2.0,0,2,2,2024-07-02,45,1.0,0.044444444444444446,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Henry Martín,Mexico,henry martin,2,2.0,0,2,2,2023-07-12,60,1.0,0.03333333333333333,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Jefferson Lerma,Colombia,jefferson lerma,2,2.0,0,2,2,2024-07-10,45,1.0,0.044444444444444446,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Mahmoud Al-Mardi,Jordan,mahmoud almardi,2,2.0,0,2,1,2024-01-15,54,2.0,0.037037037037037035,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Michael Amir Murillo,Panama,michael amir murillo,2,2.0,0,2,2,2024-06-23,58,1.0,0.034482758620689655,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Rodrigo Bentancur,Uruguay,rodrigo bentancur,2,2.0,0,2,2,2024-07-13,42,1.0,0.047619047619047616,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Santiago Giménez,Mexico,santiago gimenez,2,2.0,0,2,2,2023-07-16,60,1.0,0.03333333333333333,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Nathan Saliba,Canada,nathan saliba,2,2.0,0,2,2,2025-06-21,46,1.0,0.043478260869565216,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Folarin Balogun,United States,folarin balogun,2,2.0,0,2,2,2024-06-27,57,1.0,0.03508771929824561,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Maximiliano Araújo,Uruguay,maximiliano araujo,2,2.0,0,2,2,2024-06-27,42,1.0,0.047619047619047616,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Patrick Agyemang,United States,patrick agyemang,2,2.0,0,2,2,2025-06-22,57,1.0,0.03508771929824561,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Chris Richards,United States,chris richards,2,2.0,0,2,2,2025-07-06,57,1.0,0.03508771929824561,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Edson Álvarez,Mexico,edson alvarez,2,2.0,0,2,2,2025-07-06,60,1.0,0.03333333333333333,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Yoel Bárcenas,Panama,yoel barcenas,2,2.0,0,2,2,2023-07-08,58,1.0,0.034482758620689655,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Alireza Jahanbakhsh,Iran,alireza jahanbakhsh,2,2.0,2,2,2,2024-02-07,42,1.0,0.047619047619047616,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Orbelín Pineda,Mexico,orbelin pineda,2,2.0,1,2,2,2023-07-08,60,1.0,0.03333333333333333,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Luis Chávez,Mexico,luis chavez,2,2.0,0,2,2,2023-07-12,60,1.0,0.03333333333333333,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Luis Romo,Mexico,luis romo,2,2.0,0,2,1,2023-06-25,60,2.0,0.03333333333333333,,,,,78.0,,0.3,0.75,0.6,0.17249103243917657,2026
Cristian Martínez,Panama,cristian martinez,2,1.85,0,1,2,2025-06-16,58,1.0,0.034482758620689655,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Kevin Rodríguez,Ecuador,kevin rodriguez,2,1.85,0,1,2,2024-07-04,42,1.0,0.047619047619047616,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Abdullah Radif,Saudi Arabia,abdullah radif,2,1.85,0,1,2,2024-01-30,60,1.0,0.03333333333333333,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Davinson Sánchez,Colombia,davinson sanchez,2,1.85,0,1,2,2024-10-15,45,1.0,0.044444444444444446,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Lucas Paquetá,Brazil,lucas paqueta,2,1.85,1,1,2,2025-09-04,40,1.0,0.05,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Mathías Olivera,Uruguay,mathias olivera,2,1.85,0,1,2,2024-07-01,42,1.0,0.047619047619047616,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
César Yanis,Panama,cesar yanis,2,1.85,0,1,2,2025-06-10,58,1.0,0.034482758620689655,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Yusuf Abdurisag,Qatar,yusuf abdurisag,2,1.85,0,1,2,2023-11-21,53,1.0,0.03773584905660377,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Mert Müldür,Türkiye,mert muldur,2,1.85,0,1,2,2025-09-04,42,1.0,0.047619047619047616,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Osama Rashid,Iraq,osama rashid,2,1.85,0,1,2,2024-01-15,51,1.0,0.0392156862745098,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Alan Minda,Ecuador,alan minda,2,1.85,0,1,2,2024-11-14,42,1.0,0.047619047619047616,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Cherif Ndiaye,Senegal,cherif ndiaye,3,1.85,1,0,3,2025-12-30,48,1.0,0.0625,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Tameem Al-Abdullah,Qatar,tameem alabdullah,2,1.85,0,1,2,2023-11-16,53,1.0,0.03773584905660377,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Cho Gue-sung,South Korea,cho guesung,2,1.85,0,1,2,2024-01-30,44,1.0,0.045454545454545456,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Themba Zwane,South Africa,themba zwane,3,1.85,0,0,2,2024-06-07,52,1.5,0.057692307692307696,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Wataru Endo,Japan,wataru endo,2,1.85,0,1,2,2024-09-05,41,1.0,0.04878048780487805,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Evidence Makgopa,South Africa,evidence makgopa,3,1.85,0,0,3,2026-01-04,52,1.0,0.057692307692307696,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Abdulrahman Ghareeb,Saudi Arabia,abdulrahman ghareeb,2,1.85,0,1,2,2024-01-16,60,1.0,0.03333333333333333,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Fidel Escobar,Panama,fidel escobar,2,1.85,0,1,2,2025-06-07,58,1.0,0.034482758620689655,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Yazan Al-Arab,Jordan,yazan alarab,2,1.85,0,1,2,2025-03-20,54,1.0,0.037037037037037035,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Kendry Páez,Ecuador,kendry paez,2,1.85,1,1,2,2024-06-26,42,1.0,0.047619047619047616,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
César Blackman,Panama,cesar blackman,2,1.85,0,1,2,2025-11-18,58,1.0,0.034482758620689655,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Ryan Mendes,Cape Verde,ryan mendes,3,1.85,1,0,3,2024-01-29,43,1.0,0.06976744186046512,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Lamine Camara,Senegal,lamine camara,3,1.85,0,0,2,2024-01-15,48,1.5,0.0625,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Iliman Ndiaye,Senegal,iliman ndiaye,3,1.85,0,0,3,2026-01-09,48,1.0,0.0625,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Elias Achouri,Tunisia,elias achouri,3,1.85,1,0,2,2025-12-23,49,1.5,0.061224489795918366,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Jeremy Antonisse,Curaçao,jeremy antonisse,2,1.85,0,1,2,2025-06-21,37,1.0,0.05405405405405406,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Jean-Philippe Krasso,Ivory Coast,jeanphilippe krasso,3,1.85,1,0,3,2025-12-31,47,1.0,0.06382978723404255,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Sherzod Nasrullaev,Uzbekistan,sherzod nasrullaev,2,1.85,0,1,2,2024-06-06,45,1.0,0.044444444444444446,,,,,78.0,,0.2775,0.6937500000000001,0.555,0.1665519728633812,2026
Deniz Undav,Germany,deniz undav,3,1.7999999999999998,0,0,2,2024-10-11,43,1.5,0.06976744186046512,,,,,78.0,,0.26999999999999996,0.6749999999999999,0.5399999999999999,0.16457228633811605,2026
Hazem Mastouri,Tunisia,hazem mastouri,2,1.7,0,0,2,2025-09-04,49,1.0,0.04081632653061224,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Matías Galarza,Paraguay,matias galarza,2,1.7,0,0,2,2025-09-09,36,1.0,0.05555555555555555,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Cecilio Waterman,Panama,cecilio waterman,2,1.7,0,0,1,2025-11-13,58,2.0,0.034482758620689655,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Abdulrahman Al-Aboud,Saudi Arabia,abdulrahman alaboud,2,1.7,0,0,2,2025-06-10,60,1.0,0.03333333333333333,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Marcus Thuram,France,marcus thuram,2,1.7,0,0,2,2023-11-18,43,1.0,0.046511627906976744,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Hans Vanaken,Belgium,hans vanaken,2,1.7,0,0,2,2025-11-18,41,1.0,0.04878048780487805,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Hassan Kadesh,Saudi Arabia,hassan kadesh,2,1.7,0,0,1,2024-09-10,60,2.0,0.03333333333333333,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Aron Dønnum,Norway,aron dnnum,2,1.7,0,0,2,2025-03-22,37,1.0,0.05405405405405406,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Sarpreet Singh,New Zealand,sarpreet singh,2,1.7,0,0,2,2025-03-21,36,1.0,0.05555555555555555,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Ibrahim Sangaré,Ivory Coast,ibrahim sangare,2,1.7,1,0,2,2025-10-10,47,1.0,0.0425531914893617,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Enzo Fernández,Argentina,enzo fernandez,2,1.7,0,0,2,2025-03-25,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Yukinari Sugawara,Japan,yukinari sugawara,2,1.7,0,0,2,2024-11-15,41,1.0,0.04878048780487805,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Giorgian de Arrascaeta,Uruguay,giorgian de arrascaeta,2,1.7,0,0,2,2025-09-04,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Youssef Amyn,Iraq,youssef amyn,2,1.7,0,0,2,2024-11-19,51,1.0,0.0392156862745098,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Kenny McLean,Scotland,kenny mclean,2,1.7,0,0,2,2025-11-18,40,1.0,0.05,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Bae Jun-ho,South Korea,bae junho,2,1.7,0,0,2,2024-11-14,44,1.0,0.045454545454545456,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Mohamed El Amine Amoura,Algeria,mohamed el amine amoura,2,1.7,0,0,1,2025-03-21,52,2.0,0.038461538461538464,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Amir Al-Ammari,Iraq,amir alammari,2,1.7,1,0,2,2025-11-18,51,1.0,0.0392156862745098,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Adam Karabec,Czechia,adam karabec,2,1.7,0,0,2,2025-11-17,40,1.0,0.05,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Lucas Mendes,Qatar,lucas mendes,2,1.7,0,0,2,2025-03-25,53,1.0,0.03773584905660377,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Khojimat Erkinov,Uzbekistan,khojimat erkinov,2,1.7,0,0,2,2025-03-25,45,1.0,0.044444444444444446,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Ernest Nuamah,Ghana,ernest nuamah,2,1.7,0,0,2,2025-03-21,39,1.0,0.05128205128205128,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Ramin Rezaeian,Iran,ramin rezaeian,2,1.7,0,0,2,2023-11-21,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Kingsley Coman,France,kingsley coman,2,1.7,0,0,1,2023-11-18,43,2.0,0.046511627906976744,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Louicius Don Deedson,Haiti,louicius don deedson,2,1.7,0,0,2,2025-06-10,37,1.0,0.05405405405405406,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Silvan Widmer,Switzerland,silvan widmer,2,1.7,0,0,2,2025-09-05,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Alexis Mac Allister,Argentina,alexis mac allister,2,1.7,0,0,2,2025-03-25,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Iñaki Williams,Ghana,inaki williams,2,1.7,0,0,2,2025-03-21,39,1.0,0.05128205128205128,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Ferjani Sassi,Tunisia,ferjani sassi,2,1.7,0,0,2,2025-10-13,49,1.0,0.04081632653061224,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Thapelo Morena,South Africa,thapelo morena,2,1.7,0,0,1,2024-06-11,52,2.0,0.038461538461538464,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Ahmed Alaaeldin,Qatar,ahmed alaaeldin,2,1.7,1,0,2,2025-03-20,53,1.0,0.03773584905660377,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
