player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Rade Krunić,Bosnia and Herzegovina,rade krunic,2,1.7,0,0,1,2023-03-23,36,2.0,0.05555555555555555,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Husniddin Aliqulov,Uzbekistan,husniddin aliqulov,2,1.7,0,0,2,2024-09-10,45,1.0,0.044444444444444446,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Gavi,Spain,gavi,2,1.7,0,0,2,2023-10-15,44,1.0,0.045454545454545456,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Lewis Miller,Australia,lewis miller,2,1.7,0,0,2,2025-03-20,41,1.0,0.04878048780487805,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Lawrence Shankland,Scotland,lawrence shankland,2,1.7,0,0,2,2025-11-18,40,1.0,0.05,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Tyler Bindon,New Zealand,tyler bindon,2,1.7,0,0,2,2025-03-21,36,1.0,0.05555555555555555,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Mitchell Duke,Australia,mitchell duke,2,1.7,0,0,1,2023-11-16,41,2.0,0.04878048780487805,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Youssef Msakni,Tunisia,youssef msakni,2,1.7,1,0,2,2023-11-21,49,1.0,0.04081632653061224,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Diney,Cape Verde,diney,2,1.7,0,0,2,2025-09-04,43,1.0,0.046511627906976744,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Manuel Akanji,Switzerland,manuel akanji,2,1.7,0,0,2,2025-09-05,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Johan Manzambi,Switzerland,johan manzambi,2,1.7,0,0,2,2025-11-15,42,1.0,0.047619047619047616,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Che Adams,Scotland,che adams,2,1.7,0,0,2,2025-10-12,40,1.0,0.05,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Viktor Claesson,Sweden,viktor claesson,2,1.7,0,0,2,2023-11-19,40,1.0,0.05,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Joo Min-kyu,South Korea,joo minkyu,2,1.7,0,0,2,2024-09-10,44,1.0,0.045454545454545456,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Luiz Henrique,Brazil,luiz henrique,2,1.7,0,0,2,2024-10-15,40,1.0,0.05,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Salem Al-Dawsari,Saudi Arabia,salem aldawsari,2,1.7,0,0,2,2025-03-20,60,1.0,0.03333333333333333,,,,,78.0,,0.255,0.6375,0.51,0.16061291328758578,2026
Ollie Watkins,England,ollie watkins,2,1.6,0,1,2,2024-11-14,44,1.0,0.045454545454545456,,,,,78.0,,0.24,0.6,0.48,0.15665354023705552,2026
Lukáš Červ,Czechia,lukas cerv,2,1.45,0,0,2,2025-09-05,40,1.0,0.05,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Trent Alexander-Arnold,England,trent alexanderarnold,2,1.45,0,0,2,2024-10-13,44,1.0,0.045454545454545456,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
İrfan Can Kahveci,Türkiye,irfan can kahveci,2,1.45,0,0,2,2025-10-11,42,1.0,0.047619047619047616,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
