player,team,player_norm,year,ga_total,save_pct,clean_sheet_pct,ga90,psxg_minus_ga,intl_matches,intl_goals_conceded,intl_ga90,intl_clean_sheet_pct,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,glove_score,golden_glove_probability,won_golden_glove
Dominik Livaković,Croatia,dominik livakovic,2026,,68.0,25.0,1.0,0.0,40,36.0,0.972972972972973,0.375,L,0.9167,0.0218,0.5212650642453209,4.32558,0.9149151364436706,0.2,0.2606325321226604,0.0269,0
Alireza Beiranvand,Iran,alireza beiranvand,2026,,68.0,25.0,1.0,0.0,42,29.0,0.7435897435897436,0.4523809523809524,G,0.9474,0.0013,0.5211636748393729,4.26101,0.9450298190222661,0.4,0.2605818374196864,0.0269,0
Sergio Rochet,Uruguay,sergio rochet,2026,,68.0,25.0,1.0,0.0,42,30.0,0.7692307692307693,0.4523809523809524,H,0.9698,0.0077,0.5197614091597978,4.27525,0.9292219293474472,0.2,0.25988070457989887,0.0268,0
Badra Ali Sangaré,Ivory Coast,badra ali sangare,2026,,68.0,25.0,1.0,0.0,47,30.0,0.6818181818181818,0.48936170212765956,E,0.8955,0.0002,0.48704846491976694,4.11174,1.0045358278211935,0.4,0.24352423245988344,0.0251,0
Édouard Mendy,Senegal,edouard mendy,2026,,68.0,25.0,1.0,0.0,48,25.0,0.5555555555555556,0.5625,I,0.9042,0.0088,0.4787129098453615,4.19656,0.962192395060559,0.1,0.23935645492268073,0.0247,0
Jo Hyeon-woo,South Korea,jo hyeonwoo,2026,,68.0,25.0,1.0,0.0,44,36.0,0.8780487804878049,0.45454545454545453,A,0.841,0.0011,0.47231259898600275,4.18539,0.9677212241763499,0.4,0.23615629949300135,0.0243,0
Angus Gunn,Scotland,angus gunn,2026,,68.0,25.0,1.0,0.0,40,53.0,1.4324324324324325,0.3,C,0.8526,0.0002,0.463523676827052,4.03186,1.0697856531073069,0.4,0.23176183841352596,0.0239,0
Uğurcan Çakır,Türkiye,ugurcan cakr,2026,,68.0,25.0,1.0,0.0,42,52.0,1.3333333333333333,0.2857142857142857,D,0.7559,0.0007,0.4285174713344644,4.06963,0.9916991861783737,0.4,0.21425873566723216,0.0221,0
Mohamed El-Shenawy,Egypt,mohamed elshenawy,2026,,68.0,25.0,1.0,0.0,50,35.0,0.7446808510638298,0.5,G,0.7693,0.0004,0.40799455746596514,4.0008,0.9876026713748368,0.2,0.20399727873298254,0.021,0
Daniel Bachmann,Austria,daniel bachmann,2026,,68.0,25.0,1.0,0.0,40,30.0,0.8108108108108109,0.325,J,0.6826,0.0003,0.38114294048140895,3.84971,1.0104950474337653,0.4,0.19057147024070445,0.0196,0
Saad Al-Sheeb,Qatar,saad alsheeb,2026,,68.0,25.0,1.0,0.0,53,71.0,1.42,0.22641509433962265,B,0.7393,0.0,0.3800736011091368,3.93316,1.0519693554003777,0.1,0.19003680055456837,0.0196,0
Mathew Ryan,Australia,mathew ryan,2026,,68.0,25.0,1.0,0.0,41,28.0,0.7368421052631579,0.43902439024390244,D,0.6935,0.0001,0.3640354146626994,3.96013,1.0070982558029191,0.1,0.18201770733134967,0.0188,0
Matěj Kovář,Czechia,matej kovar,2026,,68.0,25.0,1.0,0.0,40,40.0,1.0810810810810811,0.3,A,0.5843,0.0001,0.333928715699328,3.75397,1.0433556683406822,0.4,0.16696435784966399,0.0172,0
Anthony Mandrea,Algeria,anthony mandrea,2026,,68.0,25.0,1.0,0.0,52,34.0,0.6938775510204082,0.46153846153846156,J,0.4695,0.0,0.2740937140944838,3.581,1.0355716654094163,0.4,0.13704685704724187,0.0141,0
Robin Olsen,Sweden,robin olsen,2026,,68.0,25.0,1.0,0.0,40,55.0,1.4864864864864864,0.225,F,0.5002,0.0,0.25935372254049704,3.6184,1.0785685835693428,0.1,0.1296768612702485,0.0134,0
Ørjan Nyland,Norway,rjan nyland,2026,,68.0,25.0,1.0,0.0,37,35.0,1.0294117647058822,0.35135135135135137,I,0.4598,0.0,0.25834921683147016,3.5576,1.0775078339587603,0.3,0.12917460841573505,0.0133,0
Aymen Dahmen,Tunisia,aymen dahmen,2026,,68.0,25.0,1.0,0.0,49,36.0,0.782608695652174,0.46938775510204084,F,0.5174,0.0,0.25750859246392516,3.6344,1.1087668431048627,0.0,0.12875429623196255,0.0133,0
Mohammed Al-Owais,Saudi Arabia,mohammed alowais,2026,,68.0,25.0,1.0,0.0,60,61.0,1.0701754385964912,0.35,H,0.446,0.0,0.25134399337067637,3.53896,1.1527358598969584,0.3,0.12567199668533816,0.013,0
Anthony Silva,Paraguay,anthony silva,2026,,68.0,25.0,1.0,0.0,36,33.0,1.0,0.4166666666666667,D,0.3968,0.0,0.21894214608415735,3.5048,1.0758984591508702,0.2,0.10947107304207866,0.0113,0
Asmir Begović,Bosnia and Herzegovina,asmir begovic,2026,,68.0,25.0,1.0,0.0,36,56.0,1.696969696969697,0.19444444444444445,B,0.3343,0.0,0.18690167693202553,3.41644,1.1210625565240817,0.2,0.09345083846601275,0.0096,0
Ronwen Williams,South Africa,ronwen williams,2026,,68.0,25.0,1.0,0.0,52,41.0,0.8367346938775511,0.40384615384615385,A,0.3091,0.0,0.1846034032652606,3.3886,1.1123475528013447,0.3,0.09230170163263028,0.0095,0
Orlando Mosquera,Panama,orlando mosquera,2026,,68.0,25.0,1.0,0.0,58,69.0,1.2545454545454546,0.25862068965517243,L,0.2261,0.0001,0.14326315519479818,3.28477,1.0578612351576835,0.3,0.07163157759739908,0.0074,0
Vozinha,Cape Verde,vozinha,2026,,68.0,25.0,1.0,0.0,43,42.0,1.05,0.4418604651162791,H,0.2031,0.0,0.12077419440172746,3.24516,1.2128909157010437,0.2,0.06038709720086372,0.0062,0
Joël Kiassumbua,Congo DR,joel kiassumbua,2026,,68.0,25.0,1.0,0.0,48,26.0,0.5777777777777777,0.5,K,0.2014,0.0,0.11079856003442151,3.254,1.1098544548539475,0.1,0.05539928001721075,0.0057,0
Johny Placide,Haiti,johny placide,2026,,68.0,25.0,1.0,0.0,37,39.0,1.1470588235294117,0.35135135135135137,C,0.1403,0.0,0.08957943921659244,3.16892,1.2942481929638487,0.2,0.04478971960829621,0.0046,0
Jalal Hassan,Iraq,jalal hassan,2026,,68.0,25.0,1.0,0.0,51,45.0,0.9375,0.39215686274509803,I,0.1589,0.0,0.0888616262559461,3.19204,1.1787042027723647,0.1,0.04443081312797304,0.0046,0
Utkir Boymurodov,Uzbekistan,utkir boymurodov,2026,,68.0,25.0,1.0,0.0,45,33.0,0.7857142857142857,0.4888888888888889,K,0.177,0.0,0.08837408189445671,3.22056,1.1226677767617073,0.0,0.04418704094722835,0.0046,0
Eloy Room,Curaçao,eloy room,2026,,68.0,25.0,1.0,0.0,37,43.0,1.2647058823529411,0.35135135135135137,E,0.1117,0.0,0.07542396627969053,3.13484,1.2508219724764733,0.2,0.03771198313984526,0.0039,0
Max Crocombe,New Zealand,max crocombe,2026,,68.0,25.0,1.0,0.0,36,37.0,1.121212121212121,0.3333333333333333,G,0.1085,0.0,0.05402285363696485,3.13332,1.2779247329447476,0.0,0.027011426818482422,0.0028,0
Yazeed Abulaila,Jordan,yazeed abulaila,2026,,68.0,25.0,1.0,0.0,54,69.0,1.3529411764705883,0.3148148148148148,J,0.0681,0.0,0.033802392930846276,3.08236,1.2055817073316806,0.0,0.016901196465423134,0.0017,0
Lawrence Ati-Zigi,Ghana,lawrence atizigi,2026,,68.0,25.0,1.0,0.0,39,45.0,1.25,0.28205128205128205,L,0.0459,0.0,0.03283798060604129,3.0562,1.2586699942806636,0.1,0.01641899030302064,0.0017,0
