player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm
Nico Williams,Spain,5,4.05,0,2,5,2025-06-05,1.0,43,0.11627906976744186,nico williams
Gonçalo Ramos,Portugal,5,4.0,0,0,4,2025-11-16,1.25,41,0.12195121951219512,goncalo ramos
Jonathan David,Canada,4,4.0,1,4,4,2025-06-29,1.0,45,0.08888888888888889,jonathan david
Konrad Laimer,Austria,5,4.0,0,0,5,2025-10-09,1.0,40,0.125,konrad laimer
Ivan Perišić,Croatia,5,4.0,1,0,5,2025-11-17,1.0,39,0.1282051282051282,ivan perisic
Xavi Simons,Netherlands,5,3.9,1,1,5,2025-11-17,1.0,42,0.11904761904761904,xavi simons
Arda Güler,Türkiye,5,3.9,0,1,5,2025-10-11,1.0,41,0.12195121951219512,arda guler
Elijah Just,New Zealand,5,3.9,0,0,5,2025-03-24,1.0,35,0.14285714285714285,elijah just
Hassan Al-Haydos,Qatar,4,3.85,0,3,4,2024-02-03,1.0,52,0.07692307692307693,hassan alhaydos
John McGinn,Scotland,5,3.75,0,0,5,2024-11-18,1.0,39,0.1282051282051282,john mcginn
Martin Boyle,Australia,4,3.7,2,2,4,2025-03-20,1.0,40,0.1,martin boyle
Vinícius Júnior,Brazil,4,3.7,0,2,3,2025-06-10,1.3333333333333333,39,0.10256410256410256,vinicius junior
Merih Demiral,Türkiye,4,3.7,0,2,2,2025-10-14,2.0,41,0.0975609756097561,merih demiral
Jhon Córdoba,Colombia,4,3.7,0,2,4,2025-09-09,1.0,44,0.09090909090909091,jhon cordoba
Ben Waine,New Zealand,6,3.7,1,0,4,2024-11-18,1.5,35,0.17142857142857143,ben waine
Julio Enciso,Paraguay,4,3.55,1,1,4,2025-06-05,1.0,35,0.11428571428571428,julio enciso
Mohanad Ali,Iraq,4,3.55,0,1,4,2025-11-18,1.0,50,0.08,mohanad ali
Ritsu Dōan,Japan,4,3.55,0,1,4,2024-06-11,1.0,41,0.0975609756097561,ritsu doan
Yoane Wissa,Congo DR,5,3.55,1,0,5,2025-09-09,1.0,47,0.10638297872340426,yoane wissa
James Rodríguez,Colombia,4,3.55,2,1,4,2025-09-04,1.0,44,0.09090909090909091,james rodriguez
Ruben Vargas,Switzerland,4,3.55,0,1,4,2024-06-29,1.0,41,0.0975609756097561,ruben vargas
Hidemasa Morita,Japan,4,3.55,0,1,3,2024-11-15,1.3333333333333333,41,0.0975609756097561,hidemasa morita
Denzel Dumfries,Netherlands,5,3.5,0,0,5,2025-09-04,1.0,42,0.11904761904761904,denzel dumfries
Antonio Nusa,Norway,5,3.5,0,0,4,2025-11-16,1.25,36,0.1388888888888889,antonio nusa
Pavel Šulc,Czechia,5,3.5,0,0,4,2026-03-31,1.25,40,0.125,pavel sulc
Tijjani Reijnders,Netherlands,5,3.5,0,0,5,2025-11-17,1.0,42,0.11904761904761904,tijjani reijnders
Dailon Livramento,Cape Verde,4,3.4,0,0,3,2025-10-13,1.3333333333333333,42,0.09523809523809523,dailon livramento
Julián Alvarez,Argentina,4,3.4,0,0,4,2025-06-05,1.0,40,0.1,julian alvarez
Oston Urunov,Uzbekistan,4,3.4,0,0,4,2024-09-10,1.0,44,0.09090909090909091,oston urunov
Ladislav Krejčí,Czechia,4,3.4,0,0,4,2026-03-31,1.0,40,0.1,ladislav krejci
Antonio Sanabria,Paraguay,4,3.4,0,0,3,2024-11-14,1.3333333333333333,35,0.11428571428571428,antonio sanabria
Oh Hyeon-gyu,South Korea,4,3.4,0,0,4,2025-06-10,1.0,44,0.09090909090909091,oh hyeongyu
Nick Woltemade,Germany,4,3.4,0,0,3,2025-11-17,1.3333333333333333,42,0.09523809523809523,nick woltemade
Granit Xhaka,Switzerland,4,3.4,2,0,4,2025-11-15,1.0,41,0.0975609756097561,granit xhaka
Pape Matar Sarr,Senegal,4,3.4,0,0,4,2025-09-09,1.0,47,0.0851063829787234,pape matar sarr
Luis Suárez,Colombia,4,3.4,0,0,1,2025-09-09,4.0,44,0.09090909090909091,luis suarez
Mohamed Ali Ben Romdhane,Tunisia,4,3.4,2,0,3,2025-10-10,1.3333333333333333,48,0.08333333333333333,mohamed ali ben romdhane
Brahim Díaz,Morocco,6,3.35,2,0,6,2026-01-09,1.0,53,0.11320754716981132,brahim diaz
Remo Freuler,Switzerland,4,3.3,0,1,4,2024-10-15,1.0,41,0.0975609756097561,remo freuler
Alexander Isak,Sweden,5,3.25,0,0,4,2024-11-16,1.25,40,0.125,alexander isak
Fabián Ruiz,Spain,4,3.2,0,2,3,2024-09-08,1.3333333333333333,43,0.09302325581395349,fabian ruiz
Habib Diallo,Senegal,5,3.2,0,0,5,2025-12-30,1.0,47,0.10638297872340426,habib diallo
Kosta Barbarouses,New Zealand,5,3.2,0,0,4,2025-03-24,1.25,35,0.14285714285714285,kosta barbarouses
Kai Havertz,Germany,4,3.2,3,2,4,2024-11-16,1.0,42,0.09523809523809523,kai havertz
Kenan Yıldız,Türkiye,4,3.15,0,0,3,2025-10-14,1.3333333333333333,41,0.0975609756097561,kenan yldz
Leandro Trossard,Belgium,4,3.15,0,0,4,2025-10-13,1.0,40,0.1,leandro trossard
Ante Budimir,Croatia,4,3.15,1,0,4,2025-06-09,1.0,39,0.10256410256410256,ante budimir
Mario Pašalić,Croatia,4,3.15,0,0,4,2025-06-06,1.0,39,0.10256410256410256,mario pasalic
Seko Fofana,Ivory Coast,4,3.05,0,0,4,2024-06-07,1.0,47,0.0851063829787234,seko fofana
Ismaïla Sarr,Senegal,4,3.05,0,0,3,2025-10-10,1.3333333333333333,47,0.0851063829787234,ismaila sarr
Cédric Bakambu,Congo DR,4,3.05,0,0,3,2025-12-27,1.3333333333333333,47,0.0851063829787234,cedric bakambu
Hakan Çalhanoğlu,Türkiye,4,3.05,3,1,4,2025-11-15,1.0,41,0.0975609756097561,hakan calhanoglu
Ismael Saibari,Morocco,4,3.05,0,0,3,2026-01-09,1.3333333333333333,53,0.07547169811320754,ismael saibari
Luka Modrić,Croatia,4,3.05,2,1,4,2025-06-09,1.0,39,0.10256410256410256,luka modric
Tomás Rodríguez,Panama,3,3.0,0,3,3,2025-06-24,1.0,57,0.05263157894736842,tomas rodriguez
Brandon Vázquez,United States,3,3.0,0,3,3,2023-07-09,1.0,56,0.05357142857142857,brandon vazquez
Malik Tillman,United States,3,3.0,0,3,2,2025-06-22,1.5,56,0.05357142857142857,malik tillman
Raúl Jiménez,Mexico,3,3.0,0,3,3,2025-07-06,1.0,60,0.05,raul jimenez
Tajon Buchanan,Canada,3,3.0,0,3,2,2025-06-24,1.5,45,0.06666666666666667,tajon buchanan
César Montes,Mexico,3,3.0,0,3,2,2025-06-18,1.5,60,0.05,cesar montes
Diego Luna,United States,3,3.0,0,3,2,2025-07-02,1.5,56,0.05357142857142857,diego luna
Tomáš Chorý,Czechia,4,2.9,0,0,3,2025-11-17,1.3333333333333333,40,0.1,tomas chory
Declan Rice,England,4,2.9,0,0,4,2025-09-06,1.0,42,0.09523809523809523,declan rice
Joshua Kimmich,Germany,4,2.9,2,0,3,2025-10-10,1.3333333333333333,42,0.09523809523809523,joshua kimmich
Maxim De Cuyper,Belgium,4,2.9,0,0,4,2025-09-04,1.0,40,0.1,maxim de cuyper
Adrien Rabiot,France,4,2.9,0,0,3,2025-10-10,1.3333333333333333,42,0.09523809523809523,adrien rabiot
Michael Olise,France,4,2.9,0,0,4,2025-11-13,1.0,42,0.09523809523809523,michael olise
Eduardo Guerrero,Panama,3,2.85,1,2,3,2025-06-16,1.0,57,0.05263157894736842,eduardo guerrero
Mostafa Mohamed,Egypt,5,2.85,1,0,5,2024-01-28,1.0,49,0.10204081632653061,mostafa mohamed
Azizbek Turgunboev,Uzbekistan,3,2.85,0,2,3,2025-06-10,1.0,44,0.06818181818181818,azizbek turgunboev
Jacob Shaffelburg,Canada,3,2.85,0,2,3,2024-07-05,1.0,45,0.06666666666666667,jacob shaffelburg
Keito Nakamura,Japan,3,2.7,0,1,2,2024-06-06,1.5,41,0.07317073170731707,keito nakamura
Don Deedson Louicius,Haiti,3,2.7,0,1,3,2025-11-18,1.0,36,0.08333333333333333,don deedson louicius
Xherdan Shaqiri,Switzerland,3,2.7,1,1,3,2024-06-19,1.0,41,0.07317073170731707,xherdan shaqiri
Federico Valverde,Uruguay,3,2.7,0,1,3,2024-11-19,1.0,42,0.07142857142857142,federico valverde
Igor Sergeev,Uzbekistan,3,2.7,0,1,3,2025-06-10,1.0,44,0.06818181818181818,igor sergeev
Harry Souttar,Australia,3,2.7,0,1,3,2024-01-28,1.0,40,0.075,harry souttar
Dan Ndoye,Switzerland,3,2.7,0,1,3,2025-11-15,1.0,41,0.07317073170731707,dan ndoye
Omar Alderete,Paraguay,3,2.7,0,1,3,2025-03-20,1.0,35,0.08571428571428572,omar alderete
Oswin Appollis,South Africa,4,2.7,1,0,4,2025-12-29,1.0,51,0.0784313725490196,oswin appollis
Franck Kessié,Ivory Coast,4,2.7,1,0,4,2025-10-14,1.0,47,0.0851063829787234,franck kessie
Lyle Foster,South Africa,4,2.7,0,0,4,2025-12-29,1.0,51,0.0784313725490196,lyle foster
Cenk Tosun,Türkiye,3,2.7,0,1,2,2024-06-26,1.5,41,0.07317073170731707,cenk tosun
Danley Jean Jacques,Haiti,3,2.7,0,1,3,2025-10-09,1.0,36,0.08333333333333333,danley jean jacques
Nicolas Jackson,Senegal,4,2.7,1,0,3,2025-12-23,1.3333333333333333,47,0.0851063829787234,nicolas jackson
Sébastien Haller,Ivory Coast,4,2.7,1,0,4,2025-03-24,1.0,47,0.0851063829787234,sebastien haller
Mohammed Kudus,Ghana,4,2.7,0,0,3,2025-10-12,1.3333333333333333,39,0.10256410256410256,mohammed kudus
Jude Bellingham,England,3,2.6,0,2,3,2024-10-10,1.0,42,0.07142857142857142,jude bellingham
Niclas Füllkrug,Germany,3,2.6,0,2,3,2024-09-07,1.0,42,0.07142857142857142,niclas fullkrug
