player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90,has_club_stats,player_club_name,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,adj_xg_per90,adj_goals_per90,adj_shots_per90,player_skill,boot_score,predicted_goals,year,tournament_goals
Jamal Musiala,Germany,jamal musiala,6,4.8,0,3,6,2025-03-23,43,1.0,0.13953488372093023,12.0,0.0,51.0,0.0,1.0,1804.0,0.5986696230598669,0.0,0.0,2.5443458980044347,True,J. Musiala,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.0,0.5986696230598669,2.5443458980044347,0.2750119938018597,0.17882541969148374,3.12,2026,
Dani Olmo,Spain,dani olmo,6,5.55,0,3,6,2025-11-18,44,1.0,0.13636363636363635,,,,0.33,0.5,,0.10227272727272727,0.11590909090909089,0.11590909090909089,0.3818181818181818,False,,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.11590909090909089,0.10227272727272727,0.3818181818181818,0.20113882570695624,0.17704861937080701,1.09,2026,
Raphinha,Brazil,raphinha,6,5.25,3,1,5,2025-03-20,40,1.2,0.15,35.99999999999999,0.0,174.0,0.0,1.0,5688.0,0.5696202531645568,0.0,0.0,2.7531645569620253,True,Raphinha,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.0,0.5696202531645568,2.7531645569620253,0.2618656831436198,0.17637505769101527,3.02,2026,
Zeki Amdouni,Switzerland,zeki amdouni,9,6.8999999999999995,1,0,8,2024-11-15,42,1.125,0.21428571428571427,6.999999999999999,0.0,32.0,0.0,0.82,847.0,0.7438016528925618,0.0,0.0,3.400236127508854,True,Z. Amdouni,B,0.9825,0.0016,0.5532199526628822,4.60884,0.8882525483921797,0.3,0.0,0.7438016528925618,3.400236127508854,0.3085497932737506,0.1706959020290464,3.75,2026,
Bruno Fernandes,Portugal,bruno fernandes,12,9.85,2,1,9,2025-11-16,43,1.3333333333333333,0.27906976744186046,8.0,0.0,65.0,0.0,1.0,3024.0,0.238095238095238,0.0,0.0,1.934523809523809,True,Bruno Fernandes,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.0,0.238095238095238,1.934523809523809,0.2575635907053466,0.16963439547643874,2.15,2026,
Youssef En-Nesyri,Morocco,youssef ennesyri,3,2.2,0,0,3,2025-10-14,54,1.0,0.05555555555555555,20.000000000000004,0.0,94.0,0.0,0.72,2002.0,0.8991008991008993,0.0,0.0,4.225774225774226,True,Y. En-Nesyri,C,0.9971,0.0306,0.5854969411324322,4.46646,0.8664843408732645,0.3,0.0,0.8991008991008993,4.225774225774226,0.2889943571831921,0.16920531213529252,3.62,2026,
Kevin De Bruyne,Belgium,kevin de bruyne,9,7.3,3,1,6,2025-10-13,41,1.5,0.21951219512195122,,,,0.33,0.5,,0.16463414634146342,0.18658536585365854,0.18658536585365854,0.6146341463414634,False,,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.18658536585365854,0.16463414634146342,0.6146341463414634,0.27272072383595514,0.16695040595498595,1.58,2026,
Sardar Azmoun,Iran,sardar azmoun,10,8.8,0,2,8,2025-03-20,42,1.25,0.23809523809523808,,,,0.33,0.5,,0.17857142857142855,0.20238095238095236,0.20238095238095236,0.6666666666666666,False,,G,0.9475,0.0014,0.5233122094909591,4.2868200000000005,0.9426703219353165,0.4,0.20238095238095236,0.17857142857142855,0.6666666666666666,0.31700785678288057,0.16589408195904276,1.52,2026,
Bradley Barcola,France,bradley barcola,3,2.05,0,0,3,2025-09-09,43,1.0,0.06976744186046512,28.0,0.0,134.00000000000003,0.0,1.0,4384.0,0.5748175182481752,0.0,0.0,2.750912408759125,True,B. Barcola,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,0.5748175182481752,2.750912408759125,0.19852476884311093,0.16333941396477028,2.92,2026,
Wout Weghorst,Netherlands,wout weghorst,6,4.75,1,1,6,2024-11-16,43,1.0,0.13953488372093023,10.0,0.0,28.0,0.0,0.78,1085.0,0.8294930875576036,0.0,0.0,2.3225806451612905,True,W. Weghorst,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.0,0.8294930875576036,2.3225806451612905,0.27527091915807733,0.16105442685475957,3.96,2026,
Álvaro Morata,Spain,alvaro morata,6,5.0,0,1,4,2024-10-15,44,1.5,0.13636363636363635,,,,0.33,0.5,,0.10227272727272727,0.11590909090909089,0.11590909090909089,0.3818181818181818,False,,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.11590909090909089,0.10227272727272727,0.3818181818181818,0.1762080221355277,0.15510375449147729,1.09,2026,
Erling Haaland,Norway,erling haaland,29,22.9,2,0,16,2025-11-16,37,1.8125,0.7837837837837838,22.0,0.0,92.0,0.0,1.0,2741.0,0.7223641006931777,0.0,0.0,3.0207953301714703,True,E. Haaland,I,0.4703,0.0003,0.26417513167244566,3.57335,1.0703569104855832,0.3,0.0,0.7223641006931777,3.0207953301714703,0.5867085300402404,0.15499380317672753,4.57,2026,
Mohamed Salah,Egypt,mohamed salah,14,10.15,4,0,10,2026-01-10,50,1.4,0.28,57.99999999999999,0.0,208.0,0.0,1.0,6754.0,0.7728753331359193,0.0,0.0,2.7716908498667454,True,Mohamed Salah,G,0.7824,0.0002,0.41385450222653947,4.01242,0.989394317607225,0.2,0.0,0.7728753331359193,2.7716908498667454,0.3743849713281481,0.15494090595010798,3.59,2026,
Marko Arnautović,Austria,marko arnautovic,13,10.7,4,1,6,2025-11-15,40,2.1666666666666665,0.325,,,,0.33,0.5,,0.24375000000000002,0.27625,0.27625,0.9099999999999999,False,,J,0.6875,0.0007,0.3844278726605783,3.86027,1.0091481991569633,0.4,0.27625,0.24375000000000002,0.9099999999999999,0.4021144005598974,0.154583983573425,1.87,2026,
Andrej Kramarić,Croatia,andrej kramaric,13,10.7,1,1,11,2025-09-08,40,1.1818181818181819,0.325,22.0,0.0,110.0,0.0,1.0,5564.0,0.3558590941768512,0.0,0.0,1.779295470884256,True,A. Kramarić,L,0.9235,0.0201,0.5201321511062831,4.31269,0.9163104686263878,0.2,0.0,0.3558590941768512,1.779295470884256,0.29100149428232147,0.15135923319620662,2.5,2026,
Bernardo Silva,Portugal,bernardo silva,6,5.0,0,1,6,2025-09-09,43,1.0,0.13953488372093023,10.0,0.0,44.00000000000001,0.0,1.0,1876.0,0.4797441364605543,0.0,0.0,2.11087420042644,True,Fábio Silva,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.0,0.4797441364605543,2.11087420042644,0.22566193038595944,0.1486235885989836,2.57,2026,
Son Heung-min,South Korea,son heungmin,13,11.5,4,3,11,2024-11-19,44,1.1818181818181819,0.29545454545454547,6.999999999999999,0.0,39.0,0.0,1.0,2116.0,0.2977315689981096,0.0,0.0,1.658790170132325,True,Son Heung-Min,A,0.8512,0.0006,0.47566773780878235,4.18534,0.967896642645171,0.4,0.0,0.2977315689981096,1.658790170132325,0.31066452472851813,0.14777309169505473,2.11,2026,
Michael Olise,France,michael olise,4,2.9,0,0,4,2025-11-13,43,1.0,0.09302325581395349,24.0,0.0,116.0,0.0,1.0,4692.0,0.4603580562659846,0.0,0.0,2.2250639386189257,True,M. Olise,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,0.4603580562659846,2.2250639386189257,0.17893906798347498,0.14722496678951422,2.5,2026,
Luis Díaz,Colombia,luis diaz,9,7.95,1,2,8,2025-06-10,45,1.125,0.2,13.0,0.0,49.0,0.0,1.0,2413.0,0.48487360132615,0.0,0.0,1.8276004973062576,True,L. Díaz,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.0,0.48487360132615,1.8276004973062576,0.2801930926596068,0.14640712962736116,2.52,2026,
Akram Afif,Qatar,akram afif,12,11.4,5,8,8,2025-03-20,53,1.5,0.22641509433962265,,,,0.33,0.5,,0.169811320754717,0.19245283018867926,0.19245283018867926,0.6339622641509434,False,,B,0.7175,0.0,0.3682948250801426,3.8951599999999997,1.056500564247184,0.1,0.19245283018867926,0.169811320754717,0.6339622641509434,0.3966002992062333,0.14606583782289193,1.31,2026,
Miguel Borja,Colombia,miguel borja,1,1.0,1,1,1,2024-07-06,45,1.0,0.022222222222222223,24.0,0.0,84.0,0.0,0.7,2221.0,0.9725348941918056,0.0,0.0,3.4038721296713192,True,M. Borja,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.0,0.9725348941918056,3.4038721296713192,0.27639633703944855,0.14442324027817144,3.66,2026,
Nick Woltemade,Germany,nick woltemade,4,3.4,0,0,3,2025-11-17,43,1.3333333333333333,0.09302325581395349,12.0,0.0,36.0,0.0,1.0,1620.0,0.6666666666666666,0.0,0.0,2.0,True,N. Woltemade,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.0,0.6666666666666666,2.0,0.22181415458620538,0.14423374318710022,3.21,2026,
Hugo Ekitike,France,hugo ekitike,1,0.85,0,0,1,2025-11-13,43,1.0,0.023255813953488372,30.000000000000004,0.0,174.0,0.0,1.0,5162.0,0.5230530802014723,0.0,0.0,3.033707865168539,True,H. Ekitike,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,0.5230530802014723,3.033707865168539,0.17472897790616035,0.14376104815621302,2.47,2026,
Florian Wirtz,Germany,florian wirtz,7,5.25,0,2,6,2025-09-07,43,1.1666666666666667,0.16279069767441862,10.0,0.0,54.0,0.0,1.0,2354.0,0.3823279524214104,0.0,0.0,2.064570943075616,True,F. Wirtz,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.0,0.3823279524214104,2.064570943075616,0.2201637644285292,0.14316058376404692,2.3,2026,
Vinícius Júnior,Brazil,vinicius junior,4,3.7,0,2,3,2025-06-10,40,1.3333333333333333,0.1,22.0,0.0,120.0,0.0,1.0,4514.0,0.4386353566681434,0.0,0.0,2.3925564909171464,True,Vinícius Júnior,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.0,0.4386353566681434,2.3925564909171464,0.21218715222758028,0.14291495077232513,2.26,2026,
Joselu,Spain,joselu,6,4.6,0,0,5,2024-09-08,44,1.2,0.13636363636363635,,,,0.33,0.5,,0.10227272727272727,0.11590909090909089,0.11590909090909089,0.3818181818181818,False,,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.11590909090909089,0.10227272727272727,0.3818181818181818,0.16194016499267053,0.14254474506281975,1.09,2026,
Almoez Ali,Qatar,almoez ali,14,12.2,2,2,9,2024-11-14,53,1.5555555555555556,0.2641509433962264,,,,0.33,0.5,,0.19811320754716982,0.22452830188679243,0.22452830188679243,0.7396226415094339,False,,B,0.7175,0.0,0.3682948250801426,3.8951599999999997,1.056500564247184,0.1,0.22452830188679243,0.19811320754716982,0.7396226415094339,0.38588543027803907,0.14211960704522597,1.53,2026,
Bukayo Saka,England,bukayo saka,6,5.25,0,1,4,2025-11-13,44,1.5,0.13636363636363635,5.999999999999999,0.0,41.0,0.0,1.0,1735.0,0.3112391930835734,0.0,0.0,2.126801152737752,True,B. Saka,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.0,0.3112391930835734,2.126801152737752,0.1979614271127881,0.1394861068679384,1.91,2026,
Marcus Thuram,France,marcus thuram,2,1.7,0,0,2,2023-11-18,43,1.0,0.046511627906976744,14.0,0.0,49.0,0.0,1.0,2298.0,0.5483028720626631,0.0,0.0,1.919060052219321,True,M. Thuram,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,0.5483028720626631,1.919060052219321,0.1684250206009521,0.13857436692801128,2.69,2026,
Randal Kolo Muani,France,randal kolo muani,6,4.25,1,1,5,2025-06-05,43,1.2,0.13953488372093023,,,,0.33,0.5,,0.10465116279069767,0.11860465116279069,0.11860465116279069,0.39069767441860465,False,,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.11860465116279069,0.10465116279069767,0.39069767441860465,0.1678093350608463,0.1380678018485328,1.1,2026,
Leroy Sané,Germany,leroy sane,3,2.3,0,0,2,2025-11-17,43,1.5,0.06976744186046512,11.0,0.0,50.0,0.0,1.0,1633.0,0.6062461726883037,0.0,0.0,2.7556644213104717,True,L. Sané,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.0,0.6062461726883037,2.7556644213104717,0.20890053434189493,0.1358367146502683,2.86,2026,
Nico Williams,Spain,nico williams,5,4.05,0,2,5,2025-06-05,44,1.0,0.11363636363636363,,,,0.33,0.5,,0.08522727272727272,0.09659090909090909,0.09659090909090909,0.3181818181818182,False,,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.09659090909090909,0.08522727272727272,0.3181818181818182,0.15369437176598227,0.13528654266817478,0.91,2026,
Scott McTominay,Scotland,scott mctominay,13,10.45,1,1,11,2025-11-18,40,1.1818181818181819,0.325,12.0,0.0,55.0,0.0,1.0,2941.0,0.3672220333219993,0.0,0.0,1.6831009860591637,True,S. McTominay,C,0.8598,0.0001,0.46723844558592176,4.04449,1.0674143351914183,0.4,0.0,0.3672220333219993,1.6831009860591637,0.2867327610108631,0.13397256955327527,2.38,2026,
