player,team,minutes,goals,assists,def_actions,key_passes,carries,duels_total,duels_won,duel_win_rate,goals_assists_per90,def_per90,creation_per90,pot_score,year
Leandro Daniel Paredes,Argentina,369.0,2.0,0.0,63.0,0.0,189.0,11.0,0.0,0.0,0.48780487804878053,15.365853658536587,4.609756097560976,0.27253869447757073,2022
Teun Koopmeiners,Netherlands,221.5,1.0,0.0,67.0,0.0,99.0,8.0,0.0,0.0,0.4063205417607223,27.223476297968396,4.022573363431151,0.2722042878845503,2022
Jean-Eric Maxim Choupo-Moting,Cameroon,145.0,1.0,0.0,45.0,0.0,51.0,12.0,0.0,0.0,0.6206896551724138,27.93103448275862,3.1655172413793107,0.2717447030144224,2022
Mario Pašalić,Croatia,215.5,1.0,0.0,75.0,0.0,87.0,19.0,0.0,0.0,0.41763341067285387,31.32250580046404,3.6334106728538287,0.2706326714794922,2022
Andries Noppert,Netherlands,251.0,0.0,0.0,0.0,0.0,93.0,,,0.5,0.0,0.0,3.334661354581674,0.27036351634880595,2022
Hernán Ismael Galíndez,Ecuador,90.0,0.0,0.0,0.0,0.0,33.0,,,0.5,0.0,0.0,3.3000000000000003,0.26911242603550295,2022
Vinícius José Paixão de Oliveira Júnior,Brazil,247.0,1.0,0.0,44.0,0.0,135.0,6.0,0.0,0.0,0.3643724696356275,16.032388663967613,4.919028340080971,0.2690273944449557,2022
Wahbi Khazri,Tunisia,90.0,1.0,0.0,14.0,0.0,27.0,4.0,0.0,0.0,1.0,14.0,2.7,0.26824509498598564,2022
Gareth Frank Bale,Wales,122.5,1.0,0.0,27.0,0.0,44.0,9.0,0.0,0.0,0.7346938775510203,19.83673469387755,3.23265306122449,0.2677127094998697,2022
Neymar da Silva Santos Junior,Brazil,320.5,2.0,0.0,28.0,0.0,169.0,4.0,0.0,0.0,0.561622464898596,7.862714508580344,4.745709828393137,0.267214056983332,2022
Sergio Rochet Álvarez,Uruguay,102.0,0.0,0.0,1.0,0.0,36.0,,,0.5,0.0,0.8823529411764706,3.1764705882352944,0.2670143532342865,2022
Robert Lewandowski,Poland,266.5,2.0,0.0,67.0,0.0,95.0,25.0,0.0,0.0,0.6754221388367729,22.626641651031893,3.2082551594746715,0.2663934014349127,2022
Edouard Mendy,Senegal,149.5,0.0,0.0,0.0,0.0,53.0,,,0.5,0.0,0.0,3.190635451505017,0.26516494824958936,2022
Wojciech Szczęsny,Poland,187.5,0.0,0.0,0.0,0.0,65.0,,,0.5,0.0,0.0,3.1199999999999997,0.2626153846153846,2022
Marko Livaja,Croatia,169.5,1.0,0.0,59.0,0.0,55.0,10.0,0.0,0.0,0.5309734513274337,31.327433628318584,2.920353982300885,0.26002031181530305,2022
Achraf Dari,Morocco,168.0,1.0,0.0,25.0,0.0,79.0,5.0,0.0,0.0,0.5357142857142857,13.392857142857142,4.232142857142858,0.2600181574498376,2022
William Saliba,France,90.0,0.0,0.0,3.0,0.0,28.0,,,0.5,0.0,3.0,2.8000000000000003,0.25909140454687013,2022
Sergej Milinković-Savić,Serbia,223.0,1.0,0.0,45.0,0.0,107.0,8.0,0.0,0.0,0.40358744394618834,18.161434977578473,4.318385650224216,0.2582721879525678,2022
Bruno Miguel Borges Fernandes,Portugal,399.0,2.0,0.0,80.0,0.0,184.0,17.0,0.0,0.0,0.45112781954887216,18.045112781954888,4.150375939849624,0.2582354359895378,2022
Davy Klaassen,Netherlands,133.0,1.0,0.0,28.0,0.0,48.0,5.0,0.0,0.0,0.6766917293233082,18.94736842105263,3.24812030075188,0.2581579298604655,2022
Andrej Kramarić,Croatia,343.0,2.0,0.0,44.0,0.0,166.0,6.0,0.0,0.0,0.5247813411078718,11.545189504373178,4.355685131195336,0.25807632836468664,2022
Yeltsin Ignacio Tejeda Valverde,Costa Rica,169.0,1.0,0.0,53.0,0.0,58.0,10.0,0.0,0.0,0.5325443786982249,28.224852071005916,3.0887573964497044,0.2580074687787358,2022
Xherdan Shaqiri,Switzerland,196.0,1.0,0.0,29.0,0.0,97.0,7.0,0.0,0.0,0.4591836734693878,13.316326530612246,4.454081632653062,0.2576201307368167,2022
Hugo Lloris,France,220.5,0.0,0.0,0.0,0.0,73.0,,,0.5,0.0,0.0,2.979591836734694,0.25754739765728774,2022
Hakim Ziyech,Morocco,608.0,2.0,0.0,173.0,0.0,278.0,22.0,0.0,0.0,0.29605263157894735,25.60855263157895,4.115131578947368,0.25652212941942987,2022
Devis Rogers Epassy Mboka,Cameroon,104.5,0.0,0.0,0.0,0.0,34.0,,,0.5,0.0,0.0,2.9282296650717705,0.2556934967866142,2022
Shūichi Gonda,Japan,150.5,0.0,0.0,1.0,0.0,48.0,,,0.5,0.0,0.5980066445182725,2.870431893687708,0.2552072350961344,2022
Boulaye Dia,Senegal,156.5,1.0,0.0,39.0,0.0,57.0,7.0,0.0,0.0,0.5750798722044729,22.42811501597444,3.2779552715654954,0.2549990895911916,2022
Meshaal Aissa Barsham,Qatar,90.0,0.0,0.0,0.0,0.0,29.0,,,0.5,0.0,0.0,2.9000000000000004,0.2546745562130177,2022
Alphonso Davies,Canada,242.5,1.0,0.0,58.0,0.0,110.0,5.0,0.0,0.0,0.37113402061855666,21.525773195876287,4.082474226804123,0.25443099911066014,2022
Nuno Mendes,Portugal,90.0,0.0,0.0,1.0,0.0,28.0,,,0.5,0.0,1.0,2.8000000000000003,0.2537405273538877,2022
Craig Goodwin,Australia,166.0,1.0,0.0,33.0,0.0,68.0,10.0,0.0,0.0,0.5421686746987951,17.89156626506024,3.6867469879518073,0.25322887626494767,2022
Mattéo Guendouzi Olié,France,90.0,0.0,0.0,2.0,0.0,27.0,,,0.5,0.0,2.0,2.7,0.25280649849475756,2022
Ismaïla Sarr,Senegal,243.0,1.0,0.0,67.0,0.0,102.0,13.0,0.0,0.0,0.37037037037037035,24.814814814814813,3.777777777777778,0.25213088880430307,2022
Remo Freuler,Switzerland,267.5,1.0,0.0,76.0,0.0,113.0,10.0,0.0,0.0,0.3364485981308411,25.570093457943923,3.801869158878505,0.2504982580324061,2022
Bruno Petković,Croatia,194.0,1.0,0.0,49.0,0.0,76.0,19.0,0.0,0.0,0.4639175257731959,22.7319587628866,3.525773195876289,0.24993526601534027,2022
Serge Gnabry,Germany,227.0,1.0,0.0,49.0,0.0,101.0,10.0,0.0,0.0,0.39647577092511016,19.427312775330396,4.004405286343613,0.24937772415032577,2022
Carlos Henrique Casimiro,Brazil,401.0,2.0,0.0,78.0,0.0,176.0,18.0,0.0,0.0,0.44887780548628425,17.506234413965085,3.9501246882793017,0.24926569437508683,2022
Famara Diedhiou,Senegal,90.0,1.0,0.0,23.0,0.0,15.0,5.0,0.0,0.0,1.0,23.0,1.5,0.2490104328869511,2022
Mohammed Muntari,Qatar,90.0,1.0,0.0,18.0,0.0,18.0,3.0,0.0,0.0,1.0,18.0,1.8,0.24646164227135886,2022
