player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm,xa_per90,key_passes_per90,progressive_passes_per90,pass_completion_pct,playmaker_score,year
Takefusa Kubo,Japan,5,4.4,0,1,5,2025-06-10,1.0,41,0.12195121951219512,takefusa kubo,0.66,1.6500000000000001,1.32,78.0,0.20669642857142861,2026
Saleh Al-Shehri,Saudi Arabia,5,4.4,2,1,3,2025-06-15,1.6666666666666667,58,0.08620689655172414,saleh alshehri,0.66,1.6500000000000001,1.32,78.0,0.20669642857142861,2026
Václav Černý,Czechia,5,4.25,0,0,4,2025-09-05,1.25,40,0.125,vaclav cerny,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Randal Kolo Muani,France,6,4.25,1,1,5,2025-06-05,1.2,42,0.14285714285714285,randal kolo muani,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
João Cancelo,Portugal,5,4.25,0,0,5,2025-09-09,1.0,41,0.12195121951219512,joao cancelo,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Thelo Aasgaard,Norway,5,4.25,1,0,2,2025-09-09,2.5,36,0.1388888888888889,thelo aasgaard,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Gervane Kastaneer,Curaçao,5,4.25,0,0,3,2025-06-10,1.6666666666666667,36,0.1388888888888889,gervane kastaneer,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Daichi Kamada,Japan,5,4.25,0,0,4,2025-06-10,1.25,41,0.12195121951219512,daichi kamada,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Lee Jae-sung,South Korea,5,4.25,0,0,5,2025-06-10,1.0,44,0.11363636363636363,lee jaesung,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Jérémy Doku,Belgium,5,4.25,0,0,3,2025-11-18,1.6666666666666667,40,0.125,jeremy doku,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Eldor Shomurodov,Uzbekistan,5,4.25,0,0,5,2025-06-10,1.0,44,0.11363636363636363,eldor shomurodov,0.6375,1.59375,1.275,78.0,0.2006696428571429,2026
Youri Tielemans,Belgium,5,4.15,1,1,4,2025-09-04,1.25,40,0.125,youri tielemans,0.6225,1.5562500000000001,1.245,78.0,0.19665178571428577,2026
