player,team,intl_goals,attack_score,player_norm,playmaker_score,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,pot_score,goals,assists,year
Nick Woltemade,Germany,4,0.14423374318710022,nick woltemade,0.18362445414847162,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.13999833887591037,4,0,2026
Lee Kang-in,South Korea,8,0.12380784425491766,lee kangin,0.33493449781659396,A,0.8512,0.0006,0.47566773780878235,4.18534,0.967896642645171,0.4,0.13815624244168664,8,0,2026
Marcus Thuram,France,2,0.13857436692801128,marcus thuram,0.11681222707423582,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.1366472902376459,2,0,2026
Darwin Núñez,Uruguay,7,0.11643370684704733,darwin nunez,0.2956331877729258,H,0.9565,0.0092,0.5156058125735339,4.2684,0.930365535612178,0.2,0.13365888900999331,7,0,2026
Michael Gregoritsch,Austria,11,0.1291305217443513,michael gregoritsch,0.3938864628820961,J,0.6875,0.0007,0.3844278726605783,3.86027,1.0091481991569633,0.4,0.1327108715350369,11,0,2026
Ayoub El Kaabi,Morocco,7,0.09434445392109693,ayoub el kaabi,0.24257641921397383,C,0.9971,0.0306,0.5854969411324322,4.46646,0.8664843408732645,0.3,0.12740546137970973,7,0,2026
Breel Embolo,Switzerland,6,0.10811191341993492,breel embolo,0.26222707423580793,B,0.9825,0.0016,0.5532199526628822,4.60884,0.8882525483921797,0.3,0.12690801658043022,6,0,2026
Takumi Minamino,Japan,6,0.1085577010438072,takumi minamino,0.26222707423580793,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.1259556947815786,6,0,2026
Jean-Philippe Mateta,France,2,0.12451086424700301,jeanphilippe mateta,0.11681222707423582,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.12565138923770847,2,0,2026
Adrien Rabiot,France,4,0.08590292412330769,adrien rabiot,0.16397379912663756,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.12524708501359424,4,0,2026
João Cancelo,Portugal,5,0.09325393192185667,joao cancelo,0.21703056768558954,K,0.9609,0.0647,0.6586117044411798,4.8829899999999995,0.8732848752250852,0.4,0.12432896479038821,5,0,2026
Youssef En-Nesyri,Morocco,3,0.16920531213529252,youssef ennesyri,0.13646288209606988,C,0.9971,0.0306,0.5854969411324322,4.46646,0.8664843408732645,0.3,0.12398596077346913,3,0,2026
Hugo Ekitike,France,1,0.14376104815621302,hugo ekitike,0.08340611353711791,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.12266773105995532,1,0,2026
Nicolás Otamendi,Argentina,3,0.07773169149785593,nicolas otamendi,0.1502183406113537,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.12205515278693585,3,0,2026
Thiago Almada,Argentina,3,0.07773169149785593,thiago almada,0.1502183406113537,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.12205515278693585,3,0,2026
Marcel Sabitzer,Austria,10,0.11848253306535074,marcel sabitzer,0.3703056768558952,J,0.6875,0.0007,0.3844278726605783,3.86027,1.0091481991569633,0.4,0.12186321357845736,10,0,2026
Leroy Sané,Germany,3,0.1358367146502683,leroy sane,0.14039301310043667,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.11807172209572525,3,0,2026
Son Heung-min,South Korea,13,0.14777309169505473,son heungmin,0.05,A,0.8512,0.0006,0.47566773780878235,4.18534,0.967896642645171,0.4,0.1175166326376841,13,0,2026
Koki Ogawa,Japan,6,0.09686990741631621,koki ogawa,0.2504366812227074,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.11735555384011317,6,0,2026
Youri Tielemans,Belgium,5,0.09364372806962473,youri tielemans,0.21310043668122275,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.11485238046575777,5,0,2026
Xavi Simons,Netherlands,5,0.10425186713840072,xavi simons,0.20327510917030572,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.11343238434447207,5,0,2026
Jude Bellingham,England,3,0.10916971699332619,jude bellingham,0.15218340611353715,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.11331832723715944,3,0,2026
Jérémy Doku,Belgium,5,0.08932303725020033,jeremy doku,0.21703056768558954,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.11327447864066902,5,0,2026
Mohammad Mohebi,Iran,6,0.09668720189720159,mohammad mohebi,0.25633187772925764,G,0.9475,0.0014,0.5233122094909591,4.2868200000000005,0.9426703219353165,0.4,0.11316592771817491,6,0,2026
Jonathan David,Canada,4,0.13240924481323668,jonathan david,0.2072052401746725,B,0.945,0.0004,0.5249521767048361,4.46188,0.9592064876326297,0.3,0.11193769926808392,4,0,2026
Tim Kleindienst,Germany,4,0.11409165925318326,tim kleindienst,0.1443231441048035,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.11143441218165631,4,0,2026
Ollie Watkins,England,2,0.13131069956272362,ollie watkins,0.112882096069869,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.11108342017121633,2,0,2026
Ismael Saibari,Morocco,4,0.12060137972466145,ismael saibari,0.16986899563318777,C,0.9971,0.0306,0.5854969411324322,4.46646,0.8664843408732645,0.3,0.10977682193487956,4,0,2026
Enner Valencia,Ecuador,6,0.09130769690434336,enner valencia,0.2504366812227074,E,0.9613,0.0006,0.5244641243249204,4.2450600000000005,0.9532588477675182,0.4,0.10953151672371239,6,0,2026
Vinícius Júnior,Brazil,4,0.14291495077232513,vinicius junior,0.05,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.10916770070812885,4,0,2026
Mohamed Salah,Egypt,14,0.15494090595010798,mohamed salah,0.05,G,0.7824,0.0002,0.41385450222653947,4.01242,0.989394317607225,0.2,0.10875942552515624,14,0,2026
Viktor Gyökeres,Sweden,16,0.12030819345823315,viktor gyokeres,0.49606986899563327,F,0.493,0.0,0.25512067379487485,3.60168,1.0799647633114537,0.1,0.10746028568151002,16,0,2026
